time,angle
0.000133,-0.543215
0.000200,-0.542872
0.000267,-0.542700
0.000333,-0.542357
0.000400,-0.542014
0.000467,-0.541670
0.000533,-0.541499
0.000600,-0.541156
0.000667,-0.540813
0.000733,-0.540641
0.000800,-0.540298
0.000867,-0.539955
0.000933,-0.539612
0.001000,-0.539440
0.001067,-0.539097
0.001133,-0.538754
0.001200,-0.538582
0.001267,-0.538411
0.001333,-0.538067
0.001400,-0.538067
0.001467,-0.537896
0.001533,-0.537724
0.001600,-0.537553
0.001667,-0.537553
0.001733,-0.537381
0.001800,-0.537381
0.001867,-0.537381
0.001933,-0.537381
0.002000,-0.537381
0.002067,-0.537381
0.002133,-0.537381
0.002200,-0.537381
0.002267,-0.537381
0.002333,-0.537381
0.002400,-0.537381
0.002467,-0.537381
0.002533,-0.537381
0.002600,-0.537381
0.002667,-0.537381
0.002733,-0.537381
0.002800,-0.537381
0.002867,-0.537381
0.002933,-0.537381
0.003000,-0.537381
0.003067,-0.537553
0.003133,-0.537724
0.003200,-0.537896
0.003267,-0.538067
0.003333,-0.538239
0.003400,-0.538582
0.003467,-0.538754
0.003533,-0.538925
0.003600,-0.539097
0.003667,-0.539440
0.003733,-0.539612
0.003800,-0.539783
0.003867,-0.540126
0.003933,-0.540298
0.004000,-0.540641
0.004067,-0.540984
0.004133,-0.541156
0.004200,-0.541327
0.004267,-0.541670
0.004333,-0.542357
0.004400,-0.542357
0.004467,-0.542528
0.004533,-0.543043
0.004600,-0.543043
0.004667,-0.543215
0.004733,-0.543729
0.004800,-0.543729
0.004867,-0.543901
0.004933,-0.544244
0.005000,-0.544416
0.005067,-0.544587
0.005133,-0.545102
0.005200,-0.545102
0.005267,-0.545102
0.005333,-0.545617
0.005400,-0.545617
0.005467,-0.545617
0.005533,-0.545788
0.005600,-0.545960
0.005667,-0.546475
0.005733,-0.546475
0.005800,-0.546475
0.005867,-0.546475
0.005933,-0.546475
0.006000,-0.546475
0.006067,-0.546646
0.006133,-0.546646
0.006200,-0.546646
0.006267,-0.546818
0.006333,-0.546818
0.006400,-0.546989
0.006467,-0.546989
0.006533,-0.546989
0.006600,-0.546989
0.006667,-0.546989
0.006733,-0.546989
0.006800,-0.546989
0.006867,-0.546989
0.006933,-0.546989
0.007000,-0.546989
0.007067,-0.546989
0.007133,-0.546989
0.007200,-0.546989
0.007267,-0.546989
0.007333,-0.546989
0.007400,-0.546989
0.007467,-0.546989
0.007533,-0.546646
0.007600,-0.546475
0.007667,-0.546303
0.007733,-0.546131
0.007800,-0.545788
0.007867,-0.545617
0.007933,-0.545274
0.008000,-0.544930
0.008067,-0.544587
0.008133,-0.544244
0.008200,-0.544073
0.008267,-0.543558
0.008333,-0.543215
0.008400,-0.543043
0.008467,-0.542700
0.008533,-0.542357
0.008600,-0.542014
0.008667,-0.541670
0.008733,-0.541327
0.008800,-0.541156
0.008867,-0.540813
0.008933,-0.540469
0.009000,-0.540298
0.009067,-0.539955
0.009133,-0.539612
0.009200,-0.539440
0.009267,-0.539097
0.009333,-0.538925
0.009400,-0.538582
0.009467,-0.538239
0.009533,-0.538067
0.009600,-0.537896
0.009667,-0.537724
0.009733,-0.537553
0.009800,-0.537381
0.009867,-0.537381
0.009933,-0.537209
0.010000,-0.537209
0.010067,-0.537038
0.010133,-0.537038
0.010200,-0.537038
0.010267,-0.537038
0.010333,-0.537038
0.010400,-0.537038
0.010467,-0.537038
0.010533,-0.537038
0.010600,-0.537038
0.010667,-0.537038
0.010733,-0.537038
0.010800,-0.537038
0.010867,-0.537038
0.010933,-0.537038
0.011000,-0.537038
0.011067,-0.537038
0.011133,-0.537038
0.011200,-0.537038
0.011267,-0.537038
0.011333,-0.537038
0.011400,-0.537209
0.011467,-0.537381
0.011533,-0.537553
0.011600,-0.537896
0.011667,-0.537896
0.011733,-0.538239
0.011800,-0.538411
0.011867,-0.538925
0.011933,-0.538925
0.012000,-0.539097
0.012067,-0.539440
0.012133,-0.539612
0.012200,-0.539783
0.012267,-0.540298
0.012333,-0.540469
0.012400,-0.540984
0.012467,-0.540984
0.012533,-0.541156
0.012600,-0.541670
0.012667,-0.541670
0.012733,-0.541842
0.012800,-0.542185
0.012867,-0.542357
0.012933,-0.542700
0.013000,-0.543043
0.013067,-0.543215
0.013133,-0.543729
0.013200,-0.543729
0.013267,-0.543901
0.013333,-0.544416
0.013400,-0.544416
0.013467,-0.544587
0.013533,-0.544587
0.013600,-0.544759
0.013667,-0.545102
0.013733,-0.545274
0.013800,-0.545274
0.013867,-0.545788
0.013933,-0.545788
0.014000,-0.545788
0.014067,-0.545788
0.014133,-0.545960
0.014200,-0.546131
0.014267,-0.546131
0.014333,-0.546131
0.014400,-0.546303
0.014467,-0.546303
