time,angle
0.000133,-0.432719
0.000200,-0.432890
0.000267,-0.432890
0.000333,-0.432890
0.000400,-0.432890
0.000467,-0.432890
0.000533,-0.433062
0.000600,-0.433062
0.000667,-0.433062
0.000733,-0.433062
0.000800,-0.433062
0.000867,-0.433062
0.000933,-0.433062
0.001000,-0.433062
0.001067,-0.433062
0.001133,-0.433062
0.001200,-0.433062
0.001267,-0.433062
0.001333,-0.433062
0.001400,-0.433062
0.001467,-0.433062
0.001533,-0.432890
0.001600,-0.432719
0.001667,-0.432376
0.001733,-0.432032
0.001800,-0.431861
0.001867,-0.431689
0.001933,-0.431175
0.002000,-0.430831
0.002067,-0.430488
0.002133,-0.430145
0.002200,-0.429802
0.002267,-0.429459
0.002333,-0.428944
0.002400,-0.428601
0.002467,-0.428258
0.002533,-0.427915
0.002600,-0.427571
0.002667,-0.427400
0.002733,-0.427057
0.002800,-0.426713
0.002867,-0.426370
0.002933,-0.426199
0.003000,-0.425856
0.003067,-0.425341
0.003133,-0.425169
0.003200,-0.424826
0.003267,-0.424483
0.003333,-0.424311
0.003400,-0.423968
0.003467,-0.423625
0.003533,-0.423454
0.003600,-0.423110
0.003667,-0.422939
0.003733,-0.422767
0.003800,-0.422596
0.003867,-0.422424
0.003933,-0.422424
0.004000,-0.422424
0.004067,-0.422252
0.004133,-0.422252
0.004200,-0.422252
0.004267,-0.422252
0.004333,-0.422252
0.004400,-0.422252
0.004467,-0.422252
0.004533,-0.422252
0.004600,-0.422252
0.004667,-0.422252
0.004733,-0.422252
0.004800,-0.422252
0.004867,-0.422252
0.004933,-0.422252
0.005000,-0.422252
0.005067,-0.422252
0.005133,-0.422252
0.005200,-0.422252
0.005267,-0.422252
0.005333,-0.422252
0.005400,-0.422424
0.005467,-0.422596
0.005533,-0.422939
0.005600,-0.423110
0.005667,-0.423282
0.005733,-0.423454
0.005800,-0.423797
0.005867,-0.423968
0.005933,-0.424655
0.006000,-0.424655
0.006067,-0.424826
0.006133,-0.425169
0.006200,-0.425341
0.006267,-0.426027
0.006333,-0.426027
0.006400,-0.426199
0.006467,-0.426542
0.006533,-0.426713
0.006600,-0.427057
0.006667,-0.427400
0.006733,-0.427743
0.006800,-0.428086
0.006867,-0.428429
0.006933,-0.428601
0.007000,-0.428772
0.007067,-0.429459
0.007133,-0.429459
0.007200,-0.429630
0.007267,-0.429802
0.007333,-0.430145
0.007400,-0.430317
0.007467,-0.430488
0.007533,-0.430660
0.007600,-0.431003
0.007667,-0.431175
0.007733,-0.431346
0.007800,-0.431346
0.007867,-0.431518
0.007933,-0.431861
0.008000,-0.431861
0.008067,-0.432032
0.008133,-0.432032
0.008200,-0.432204
0.008267,-0.432376
0.008333,-0.432376
0.008400,-0.432547
0.008467,-0.432547
0.008533,-0.432547
0.008600,-0.432719
0.008667,-0.432719
0.008733,-0.432719
0.008800,-0.432719
0.008867,-0.432719
0.008933,-0.432719
0.009000,-0.432719
0.009067,-0.432719
0.009133,-0.432719
0.009200,-0.432719
0.009267,-0.432719
0.009333,-0.432719
0.009400,-0.432719
0.009467,-0.432719
0.009533,-0.432719
0.009600,-0.432719
0.009667,-0.432719
0.009733,-0.432719
0.009800,-0.432719
0.009867,-0.432547
0.009933,-0.432204
0.010000,-0.432032
0.010067,-0.431689
0.010133,-0.431518
0.010200,-0.431175
0.010267,-0.430831
0.010333,-0.430317
0.010400,-0.430145
0.010467,-0.429802
0.010533,-0.429287
0.010600,-0.428944
0.010667,-0.428601
0.010733,-0.428086
0.010800,-0.427915
0.010867,-0.427400
0.010933,-0.427228
0.011000,-0.426885
0.011067,-0.426542
0.011133,-0.426199
0.011200,-0.425856
0.011267,-0.425512
0.011333,-0.425341
0.011400,-0.424998
0.011467,-0.424655
0.011533,-0.424311
0.011600,-0.423968
0.011667,-0.423797
0.011733,-0.423454
0.011800,-0.423110
0.011867,-0.422939
0.011933,-0.422767
0.012000,-0.422596
0.012067,-0.422424
0.012133,-0.422252
0.012200,-0.422081
0.012267,-0.421909
0.012333,-0.421909
0.012400,-0.421909
0.012467,-0.421909
0.012533,-0.421909
0.012600,-0.421909
0.012667,-0.421909
0.012733,-0.421738
0.012800,-0.421738
0.012867,-0.421738
0.012933,-0.421738
0.013000,-0.421738
0.013067,-0.421738
0.013133,-0.421738
0.013200,-0.421738
0.013267,-0.421738
0.013333,-0.421738
0.013400,-0.421738
0.013467,-0.421738
0.013533,-0.421738
0.013600,-0.421738
0.013667,-0.421909
0.013733,-0.422081
0.013800,-0.422252
0.013867,-0.422596
0.013933,-0.422767
0.014000,-0.423110
0.014067,-0.423282
0.014133,-0.423454
0.014200,-0.423797
0.014267,-0.424140
0.014333,-0.424311
0.014400,-0.424655
0.014467,-0.424826
0.014533,-0.425169
0.014600,-0.425512
0.014667,-0.425684
0.014733,-0.426027
0.014800,-0.426370
0.014867,-0.426542
0.014933,-0.426885
0.015000,-0.427400
0.015067,-0.427571
0.015133,-0.428086
0.015200,-0.428086
0.015267,-0.428429
0.015333,-0.428772
0.015400,-0.428944
0.015467,-0.429287
0.015533,-0.429459
0.015600,-0.429802
0.015667,-0.429973
0.015733,-0.430145
0.015800,-0.430317
0.015867,-0.430488
0.015933,-0.430831
0.016000,-0.430831
